Sector,Symbol,Exchange,Ltp,%Change,Volume
,JKTYRE,NSE,342.75,-1.99,328
,LTFOODS,NSE,399.00,-7.82,29903
,OLAELEC,NSE,43.78,-4.99,36042
,UCOBANK,NSE,29.40,-1.84,46607
,UNITDSPR,NSE,1431.60,-1.87,4706
